Station_number,Station_name,Region,rainfall,Mean,Percentile,Years_of_data,latitude,longitude,Elevation
82096,CREIGHTONS CREEK (BARONGA (CREIGHTON\'S C,VIC,596.2,830.9,9.9,82,-36.90,145.52,276
82105,WHITFIELD (KING RIVER AT CHESHUNT),VIC,1057.2,1106.7,50.0,21,-36.83,146.40,293
82106,MIITA MITTA RIVER @ TALLANDOON,VIC,1200.8,1076.1,-1.0,3,-36.41,147.23,280
82116,MYRRHEE (BOGGY CK AT ANGLESIDE),VIC,741.8,730.0,57.9,20,-36.61,146.36,-999
82128,HURDLE CK AT BOBINAWARRAH,VIC,630.6,685.2,52.6,20,-36.51,146.45,-999
82134,WARRENBAYNE,VIC,554.2,862.8,6.1,34,-36.69,145.87,231
82138,WANGARATTA AERO,VIC,580.2,612.6,42.4,34,-36.42,146.31,153
82139,HUNTERS HILL,VIC,1089.2,1215.2,40.0,31,-36.21,147.54,981
82140,LIMA EAST (CHARNWOOD),VIC,981.6,974.6,59.1,23,-36.85,145.94,340
82142,TOLMIE (MOUNT TABLETOP REPEATER),VIC,1019.8,956.0,63.6,23,-36.95,146.22,915
82143,SHEANS CREEK (HERONSLEA),VIC,560.6,622.3,40.0,21,-36.79,145.66,220
82144,KELVIN VIEW (WATERHOUSE RESERVOIR),VIC,545.2,656.1,31.8,23,-36.82,145.64,300
82145,GOORAM (HILLSIDE),VIC,541.4,694.7,21.7,24,-36.88,145.58,255
82146,GOORAM (MORELLA),VIC,589.2,725.6,27.3,23,-36.93,145.58,320
82147,MERTON (ENDERLEE),VIC,557.6,698.2,-1.0,18,-36.92,145.68,495
82148,TOO ROUR (MOROKO PARK),VIC,822.8,873.8,42.9,22,-36.83,145.85,590
82149,EUROA (CASTLE CK AT TELFORD BRIDGE),VIC,527.0,587.6,38.1,22,-36.79,145.57,190
82151,SEVEN CREEKS AT STRATHBOGIE,VIC,796.8,870.6,45.5,23,-36.86,145.73,470
82153,KITHBROOK (BALQUHAIN),VIC,679.0,784.5,34.8,24,-36.82,145.71,580
82154,SEVEN CREEKS AT D/S POLLY MCQUINNS WEIR,VIC,705.4,776.4,30.4,24,-36.89,145.68,440
82155,HOLLAND CK AT WRIGHTLEY,VIC,862.0,943.5,39.1,24,-36.82,146.13,430
82158,EDI UPPER (BLACK RANGE TROUT FARM),VIC,1021.2,1065.6,42.9,22,-36.75,146.54,-999
82162,ROSEWHITE FLD,VIC,776.0,939.9,10.5,20,-36.58,146.82,253
82163,CARBOOR UPPER,VIC,804.4,917.1,25.0,21,-36.64,146.55,298
82166,BLOOMFIELD PARK (EVERTON),VIC,617.8,682.4,50.0,21,-36.42,146.56,251
82167,GRETA WEST,VIC,633.8,697.4,-1.0,19,-36.53,146.22,174
82169,CORRYONG AIRPORT,VIC,717.4,822.7,-1.0,17,-36.18,147.89,290
82170,BENALLA AIRPORT,VIC,575.8,604.4,-1.0,16,-36.55,146.00,171
82172,HUON (BARKLEYS CAMP),VIC,643.8,811.1,-1.0,13,-36.25,147.10,207
